"","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Title","Deck","HasCabin","Fam","IsAlone","Adult"
"1",0,3,"male",22,1,0,7.25,"S","Mr","Z",0,2,0,1
"2",1,1,"female",38,1,0,71.2833,"C","Mrs","C",1,2,0,1
"3",1,3,"female",26,0,0,7.925,"S","Miss","Z",0,1,1,1
"4",1,1,"female",35,1,0,53.1,"S","Mrs","C",1,2,0,1
"5",0,3,"male",35,0,0,8.05,"S","Mr","Z",0,1,1,1
"6",0,3,"male",36,0,0,8.4583,"Q","Mr","Z",0,1,1,1
"7",0,1,"male",54,0,0,51.8625,"S","Mr","E",1,1,1,1
"8",0,3,"male",2,3,1,21.075,"S","Master","Z",0,5,0,0
"9",1,3,"female",27,0,2,11.1333,"S","Mrs","Z",0,3,0,1
"10",1,2,"female",14,1,0,30.0708,"C","Mrs","Z",0,2,0,0
"11",1,3,"female",4,1,1,16.7,"S","Miss","G",1,3,0,0
"12",1,1,"female",58,0,0,26.55,"S","Miss","C",1,1,1,1
"13",0,3,"male",20,0,0,8.05,"S","Mr","Z",0,1,1,1
"14",0,3,"male",39,1,5,31.275,"S","Mr","Z",0,7,0,1
"15",0,3,"female",14,0,0,7.8542,"S","Miss","Z",0,1,1,0
"16",1,2,"female",55,0,0,16,"S","Mrs","Z",0,1,1,1
"17",0,3,"male",2,4,1,29.125,"Q","Master","Z",0,6,0,0
"18",1,2,"male",19,0,0,13,"S","Mr","Z",0,1,1,1
"19",0,3,"female",31,1,0,18,"S","Mrs","Z",0,2,0,1
"20",1,3,"female",18,0,0,7.225,"C","Mrs","Z",0,1,1,1
"21",0,2,"male",35,0,0,26,"S","Mr","Z",0,1,1,1
"22",1,2,"male",34,0,0,13,"S","Mr","D",1,1,1,1
"23",1,3,"female",15,0,0,8.0292,"Q","Miss","Z",0,1,1,0
"24",1,1,"male",28,0,0,35.5,"S","Mr","A",1,1,1,1
"25",0,3,"female",8,3,1,21.075,"S","Miss","Z",0,5,0,0
"26",1,3,"female",38,1,5,31.3875,"S","Mrs","Z",0,7,0,1
"27",0,3,"male",19,0,0,7.225,"C","Mr","Z",0,1,1,1
"28",0,1,"male",19,3,2,263,"S","Mr","C",1,6,0,1
